institution,program_name,credential,admission_type,source_url
NAIT,Advanced Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach306-advanced-turning-centre-programming
NAIT,After Your Student Applies,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/after-your-student-applies
NAIT,Agentic AI Foundation,Certificate,,https://www.nait.ca/nait/continuing-education/programs/agentic-ai-foundation
NAIT,Alberta Advantage Immigration Program,,,https://www.nait.ca/nait/international/immigration-visa-requirements/alberta-advantage-immigration-program
NAIT,All other NAIT programs,,,https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/english-language-proficiency/formal-assessment/all-other-nait-programs
NAIT,Alumni profile: Clifton Lofthaug,,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/beyond-the-classroom/students/alumnus-profile-clifton-lofthaug
NAIT,Alumni profile: Jesse Tutt,,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/beyond-the-classroom/students/alumni-profile-jesse-tutt
NAIT,Alumni profile: Nicole Dunlop,,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/beyond-the-classroom/students/alumnus-profile-nicole-dunlop
NAIT,Animation (Area of Emphasis),,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/walkthroughs/dmit-areas-of-emphasis/animation
NAIT,Apple iOS iPhone/iPad Mobile Developer,Certificate of Achievement,,https://www.nait.ca/nait/continuing-education/programs/apple-ios-iphone-ipad-mobile-developer-certificate
NAIT,Apprentice Sponsorship,,,https://www.nait.ca/nait/schools-programs/forms/apprentice-sponsorship
NAIT,Apprenticeship Pathways,,,https://www.nait.ca/nait/schools-programs/office-of-apprenticeship/apprenticeship-pathways
NAIT,Artisanal Food Market,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/artisanal-food-market
NAIT,Bachelor of Business Administration (BBA) Co-operative Education,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/experiential-learning/bachelor-of-business-administration-co-op-educatio
NAIT,Basic Machine Centre Programming - Milling,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach204-basic-machine-centre-programming
NAIT,Basic Turning Centre Programming - Lathe,Course / part of Computer Numerical Control (CNC) Certificate,,https://www.nait.ca/nait/continuing-education/courses/mach304-basic-turning-centre-programming
NAIT,Be Future Ready Form,,,https://www.nait.ca/nait/schools-programs/forms/be-future-ready-form
NAIT,Become a Certified Digital Marketing Professional,,,https://www.nait.ca/online-digital-marketing-program
NAIT,Before Your Student Applies,,,https://www.nait.ca/nait-authorized-agents/credit-program-students/before-your-student-applies
NAIT,Blockchain Smart Contract,,,https://www.nait.ca/nait/continuing-education/programs/blockchain-smart-contract
NAIT,Breast Sonography,Certificate,,https://www.nait.ca/nait/continuing-education/programs/breast-sonography
NAIT,Business Continuity Management Program (BCMP) Sustainment,Course / part of Business Continuity Certificate or Business Risk Management,,https://www.nait.ca/nait/continuing-education/courses/cdem306-business-continuity-management-program-(bc
NAIT,Business Degree and Diploma Programs,,,https://www.nait.ca/schools/jrssb/programs
NAIT,Business Innovation Showcase,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/business-innovation-showcase
NAIT,Business Innovation Showcase,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/mawji-centre/events-programs/business-innovation-showcase
NAIT,Business Risk Management,,,https://www.nait.ca/nait/continuing-education/programs/business-risk-management
NAIT,C/C++ Programming Language,,,https://www.nait.ca/coned/c-cpp-programming-language
NAIT,CLA: Programming Essentials in C,Course / part of C/C++ Programming Language group,,https://www.nait.ca/nait/continuing-education/courses/cctp135-cla-programming-essentials-in-c
NAIT,CPA: Programming Essentials in C++,Course / part of C/C++ Programming Language group,,https://www.nait.ca/nait/continuing-education/courses/cctp136-cpa-programming-essentials-in-c
NAIT,Canadian Registered Safety Technician (CRST),,,https://www.nait.ca/nait/continuing-education/programs/canadian-registered-safety-technician
NAIT,Career Mentorship,,,https://www.nait.ca/nait/student-life/clubs-groups-community/peer-mentorship-program/career-mentorship
NAIT,Ceremony Schedule by Program,,,https://www.nait.ca/nait/student-life/graduation-convocation/about-the-convocation-ceremony/ceremony-schedule-by-program
NAIT,Certified Risk Management Professional (CRMP),,,https://www.nait.ca/nait/continuing-education/programs/certified-risk-management-professional
NAIT,Chef in Residence,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/chef-in-residence
NAIT,Choosing Your NAIT Program,,,https://www.nait.ca/nait/admissions/programs/choosing-your-nait-program
NAIT,Clean Energy,,,https://www.nait.ca/nait/continuing-education/programs/clean-energy
NAIT,Club Culinaire,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/club-culinaire
NAIT,Competitive Entrance,,,https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/how-does-nait-evaluate-my-application/competitive-entrance-programs
NAIT,Computer Software Development (Area of Emphasis),,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/walkthroughs/dmit-areas-of-emphasis/computer-software-development
NAIT,Construction Leadership and Supervision (CLS),Certificate,,https://www.nait.ca/coned/construction-leadership-and-supervision-program
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/coned/career-programs
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/continuing-education/programs-and-courses
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/business-leadership
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/construction-trades-and-manufacturing
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/energy-and-environment
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/health
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/how-to-register-for-non-credit-programs-and-course
NAIT,Continuing Education Programs & Courses,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/productivity-and-project-management
NAIT,Core Programming,,,https://www.nait.ca/coned/core-programming
NAIT,Corporate Training Inquiry,,,https://www.nait.ca/nait/continuing-education/programs-and-courses/how-to-register-for-non-credit-programs-and-course/group-registration-and-corporate-training
NAIT,Credit Program Students,,,https://www.nait.ca/nait-authorized-agents/credit-program-students
NAIT,Culinary Arts and Professional Food Studies,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food
NAIT,Culinary Programs,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/department-of-culinary-arts-and-professional-food/culinary-programs
NAIT,Dental and Denture Clinic,,,https://www.nait.ca/nait/schools-programs/school-of-health-and-life-sciences/dental-and-denture-clinic
NAIT,Digital Cinema (Area of Emphasis),,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/walkthroughs/dmit-areas-of-emphasis/digital-cinema
NAIT,Digital Marketing,Professional Certificate,,https://www.nait.ca/coned/digital-marketing-program
NAIT,Digital Marketing Associate Tracks,,,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-associate-tracks
NAIT,Digital Marketing Professional Certification,,,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-professional-certification
NAIT,Digital Marketing Specialist,,,https://www.nait.ca/nait/continuing-education/programs/digital-marketing-specialist
NAIT,Driving Net Zero,,,https://www.nait.ca/nait/schools-programs/school-of-health-and-life-sciences/industry-engagement/news-and-events/driving-net-zero
NAIT,Drone Training,Certificate of Completion,,https://www.nait.ca/nait/continuing-education/programs/drone-training-certificate
NAIT,Emergency Medical Responder (EMR),,,https://www.nait.ca/nait/continuing-education/forms/emr-program-completion
NAIT,Energy Process Operator,Certificate,,https://www.nait.ca/nait/continuing-education/programs/energy-process-operator
NAIT,Engineering Students to Craft Rope Suspension Bridges across Whitemud Creek,,,https://www.nait.ca/nait/schools-programs/school-of-applied-sciences-and-technology/beyond-the-classroom/students/engineering-students-to-craft-rope-suspension-brid
NAIT,English Summer Language Program,Certificate of Completion,,https://www.nait.ca/nait/marketing/english-summer-language-program
NAIT,Entrepreneurship Blue Book Program,,,https://www.nait.ca/nait/business-industry/mawji-centre/events-programs/entrepreneurial-blue-book-program
NAIT,Entrepreneurship Blue Book Program,,,https://www.nait.ca/nait/schools-programs/jr-shaw-school-of-business/mawji-centre/events-programs/entrepreneurial-blue-book-program
NAIT,Entrepreneurship and Business Management,,,https://www.nait.ca/nait/continuing-education/programs/entrepreneurship
NAIT,"Equity, Diversity, and Inclusion",Certificate,,https://www.nait.ca/nait/continuing-education/programs/equity-diversity-and-inclusion
NAIT,Explore your options,,,https://www.nait.ca/schools-programs/explore
NAIT,FAQ - Applying to a Program at NAIT,,,https://www.nait.ca/nait/contact/faq/applying-to-a-program-at-nait
NAIT,Find a Program,,,https://www.nait.ca/nait/admissions/programs
NAIT,Fitness & Recreation Programs,,,https://www.nait.ca/nait/student-life/health-well-being/fitness-programs
NAIT,Full Stack Development Bootcamp,,,https://www.nait.ca/nait/continuing-education/programs/full-stack-development
NAIT,Fundamentals of Cloud Programming,Course / part of Data Engineer Certificate,,https://www.nait.ca/nait/continuing-education/courses/cctb673-fundamentals-of-cloud-programming
