institution,program_name,credential,admission_type,minimum_average,competitive_average,english_requirement,math_requirement,required_courses,other_requirements,source_url
MacEwan,Music Career Management Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bmus-music-career-management/
MacEwan,Music Education Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bmus-music-education/
MacEwan,Music Technology and Production Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bmus-music-technology-production/
MacEwan,Songwriting Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bmus-songwriting/
MacEwan,Cybersecurity Studies Minor,Minor,,,,,,[],[],https://calendar.macewan.ca/programs/min-bpsj-cybersecurity-studies/
MacEwan,Behaviour Analysis,Post-Baccalaureate Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-baccalaureate-certificate-programs/behaviour-analysis/
MacEwan,Digital Experience Design,Post-Diploma Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-diploma-certificate-programs/digital-experience-design/
MacEwan,Gerontology,Post-Diploma Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-diploma-certificate-programs/gerontology/
MacEwan,Hospice Palliative Care,Post-Diploma Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-diploma-certificate-programs/hospice-palliative-care/
MacEwan,Occupational Health Nursing (OHN),Post-Diploma Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-diploma-certificate-programs/occupational-health-nursing/
MacEwan,Perioperative Nursing,Post-Diploma Certificate,,,,,,[],[],https://calendar.macewan.ca/programs/post-diploma-certificate-programs/perioperative-nursing/
MacEwan,English as an Additional Language (EAL),,,,,,,[],[],https://calendar.macewan.ca/programs/university-entrance/eal/
MacEwan,Alberta Foundation Program (AFP),,,,,,,[],[],https://calendar.macewan.ca/programs/university-entrance/foundation-alberta/
MacEwan,Foundation Program International,,,,,,,[],[],https://calendar.macewan.ca/programs/university-entrance/foundation-international/
MacEwan,pimâcihisowin Foundation Program (PFP),,,,,,,[],[],https://calendar.macewan.ca/programs/university-entrance/foundation-pimacihisowin/
MacEwan,Academic Upgrading,,,,,,,[],[],https://calendar.macewan.ca/programs/university-entrance/university-preparation/
MacEwan,Bachelor of Physical Education Transfer,,,,,,,[],[],https://calendar.macewan.ca/programs/university-transfer/bpe-physical-education-transfer/
NAIT,C/C++ Programming Language,,,,,,,[],[],https://www.nait.ca/coned/c-cpp-programming-language
NAIT,Continuing Education Programs & Courses,,,,,,,[],[],https://www.nait.ca/coned/career-programs
NAIT,Construction Leadership and Supervision (CLS),Certificate,,,,,,[],[],https://www.nait.ca/coned/construction-leadership-and-supervision-program
NAIT,Core Programming,,,,,,,[],[],https://www.nait.ca/coned/core-programming
NAIT,Digital Marketing,Professional Certificate,,,,,,[],[],https://www.nait.ca/coned/digital-marketing-program
NAIT,National Payroll Institute Designation Programs,PCP and PLP designations,,,,,,[],[],https://www.nait.ca/coned/national-payroll-institute-program
NAIT,Programmable Logic Controller Level I,Certificate of Achievement,,,,,,[],[],https://www.nait.ca/coned/programmable-logic-controller
NAIT,Programmable Logic Controller Level II,Certificate of Achievement,,,,,,[],[],https://www.nait.ca/coned/programmable-logic-controller-ii
NAIT,Water and Wastewater Technician,Specialized Certificate,,,,,,[],[],https://www.nait.ca/coned/water-wastewater-tech-programming-distance
NAIT,Continuing Education Programs & Courses,,,,,,,[],[],https://www.nait.ca/continuing-education/programs-and-courses
NAIT,Credit Program Students,,,,,,,[],[],https://www.nait.ca/nait-authorized-agents/credit-program-students
NAIT,After Your Student Applies,,,,,,,[],[],https://www.nait.ca/nait-authorized-agents/credit-program-students/after-your-student-applies
NAIT,Before Your Student Applies,,,,,,,[],[],https://www.nait.ca/nait-authorized-agents/credit-program-students/before-your-student-applies
NAIT,Glossary of NAIT Terms - MyNAIT,,,,,,,[],[],https://www.nait.ca/nait-authorized-agents/credit-program-students/definition-of-nait-terms
NAIT,How To Apply,,,,,,,[],[],https://www.nait.ca/nait-authorized-agents/credit-program-students/how-to-apply
NAIT,NAIT joins program launch to help students from the Philippines study in Canada,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2017/nait-joins-program-launch-to-help-students-from-th
NAIT,New drill rig operator program launched at NAIT,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2017/new-drill-rig-operator-program-launched-at-nait
NAIT,Get hands-on with NAIT programs at Open House,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2018/get-hands-on-with-nait-programs-at-open-house
NAIT,NAIT shifts to online lecture and theory program delivery until at least Jan. 21,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2021/nait-shifts-to-online-lecture-and-theory-program-d
NAIT,5 programs receive government funding for expansion,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2022/5-programs-receive-government-funding-for-expansio
NAIT,Women of Steel™: Forging Forward Program Comes to Edmonton,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2023/women-of-steel™-forging-forward-program-comes-to-e
NAIT,NAIT launches 5 new programs,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2024/nait-launches-5-new-programs
NAIT,"New NAIT program to bring more women-identifying individuals to construction, energy and manufacturi",,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2024/new-nait-program-to-bring-more-women-identifying-i
NAIT,Unique “Queers and Peers Mentorship” program celebrates 3 years at NAIT,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2024/unique-queers-and-peers-mentorship-program-celebra
NAIT,NAIT Launches Engagement Phase for Paused Programs,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2025/nait-launches-engagement-phase-for-paused-programs
NAIT,NAIT reviews programs for future growth and innovation,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2025/nait-reviews-programs-for-future-growth-and-innova
NAIT,New pilot program aims to fast-track medical device innovation,,,,,,,[],[],https://www.nait.ca/nait/about/newsroom/2025/new-pilot-program-aims-to-fast-track-medical-devic
NAIT,All other NAIT programs,,,,,,,[],[],https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/english-language-proficiency/formal-assessment/all-other-nait-programs
NAIT,Health Science,,,,,,,[],[],https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/english-language-proficiency/formal-assessment/most-health-science-programs
NAIT,Competitive Entrance,,,,,,,[],[],https://www.nait.ca/nait/admissions/applying-to-nait/entrance-requirements/how-does-nait-evaluate-my-application/competitive-entrance-programs
NAIT,Find a Program,,,,,,,[],[],https://www.nait.ca/nait/admissions/programs
NAIT,Choosing Your NAIT Program,,,,,,,[],[],https://www.nait.ca/nait/admissions/programs/choosing-your-nait-program
