Institution,Program,Credential_Type,Min_Avg_Final,Competitive_Final,English_Req,English_Min,Math_Req,Math_Min,Social_Req,Social_Min,Science_Req,Science_Min,Elective_Qty,Elective_Pool,Status,Eng_Req,Eng_Min,Eng_30_2_Allowed,Bio_30_Req,Chem_30_Req,Phys_30_Req,Sci_30_Req,Elective_Pool_Count,Pool_Allows_Group_A,Pool_Allows_Group_B,Pool_Allows_Group_C,Pool_Allows_Group_D
MacEwan,Music Education Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Music Technology and Production Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Music Theatre Performance (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Nursing,Other,65,Low-to-mid 80s,30-1,65,30-1 or 30-2,50,,50.0,"Bio 30, Chem 30, Sci 30",50,0,,Active,,,,,,,,,,,,
MacEwan,Occupational Health Nursing (OHN),Other,65,Low-to-mid 80s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Office Assistant - Administrative major,Other,60,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Office Assistant - Legal major,Other,60,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Office Assistant - Medical major,Other,60,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Paralegal Studies,Other,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Performance (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Perioperative Nursing,Other,65,Low-to-mid 80s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Philosophy (Major/Minor),Degree,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Physical Sciences (Major),Degree,65,Mid-70s,30-1,65,30-1,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Physical Therapist Assistant / Occupational Therapist Assistant,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,Bio 30,50,Two,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Physics Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Planetary Physics Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Police Studies,Other,65,Mid-to-high 70s,30-1 or 30-2,65,,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Political Science,Other,65,Mid-70s,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Political Science Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Professional Communication (Major),Degree,65,Minimum Only,30-1,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Professional Communication Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Property Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Psychiatric Nursing,Other,65,Low-to-mid 80s,30-1,65,30-1 or 30-2,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Psychology,Other,65,Mid-70s,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Psychology,Other,65,Mid-70s,30-1,65,30-1,50,,50.0,"Bio 30, Chem 30",50,Check Notes,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Psychology Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Public Relations,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Suspended,,,,,,,,,,,,
MacEwan,Public Relations (Major),Degree,65,Minimum Only,30-1,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Recording and Production (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Social Work,Other,65,Low 80s,30-1,65,,50,30-1,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Social Work,Other,65,Low 80s,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Sociology,Other,65,Minimum Only,30-1,65,30-1,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Sociology Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Songwriting Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Spanish Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Spanish Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Speech Language Pathologist Assistant,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Statistics Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Studio Arts (Major),Degree,65,Mid-70s,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Supply Chain Management (Major),Degree,65,Minimum Only,30-1,65,30-1 or 30-2,50,,50.0,,50,Three,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Supply Chain Management Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
MacEwan,Sustainability Studies,Other,65,Minimum Only,30-1,65,,50,,50.0,,50,0,,Active,,,,,,,,,,,,
MacEwan,Theatre Production (Major),Degree,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Travel and Tourism,Other,65,Minimum Only,30-1 or 30-2,65,,50,,50.0,,50,Four,"Groups A, B, C, or D",Active,,,,,,,,,,,,
MacEwan,Urban Wellness Minor,Minor,Refer to Degree,Refer to Degree,See Degree,See Degree,See Degree,See Degree,See Degree,50.0,See Degree,50,See Degree,See Degree,Active,,,,,,,,,,,,
