program_name,program_href,program_url_seed,requirements_url,seed_source
Office Assistant - Legal,/academics/programs/office-assistant/academics/legal-major/,https://www.macewan.ca/academics/programs/office-assistant/academics/legal-major/,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,macewan-link-list-element
Office Assistant - Medical,/academics/programs/office-assistant/academics/medical-major/,https://www.macewan.ca/academics/programs/office-assistant/academics/medical-major/,https://www.macewan.ca/academics/programs/office-assistant/admissions/requirements/index.html,macewan-link-list-element
Open Studies,/academics/programs/open-studies/,https://www.macewan.ca/academics/programs/open-studies/,,macewan-link-list-element
Paralegal Studies,/academics/programs/paralegal-studies/,https://www.macewan.ca/academics/programs/paralegal-studies/,https://www.macewan.ca/academics/programs/paralegal-studies/admissions/requirements/index.html,macewan-link-list-element
Performance,/academics/programs/bachelor-of-music/academics/music-performance-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/academics/music-performance-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Perioperative Nursing for Registered Nurses and Licensed Practical Nurses,/academics/programs/perioperative-nursing/,https://www.macewan.ca/academics/programs/perioperative-nursing/,https://www.macewan.ca/academics/programs/perioperative-nursing/admissions/requirements/index.html,macewan-link-list-element
Philosophy,/academics/academic-departments/humanities/academics/philosophy-major/,https://www.macewan.ca/academics/academic-departments/humanities/academics/philosophy-major/,,macewan-link-list-element
Physical Sciences,/academics/academic-departments/physical-sciences/academics/physical-sciences-major/,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/physical-sciences-major/,,macewan-link-list-element
Physical Therapist Assistant and Occupational Therapist Assistant,/academics/programs/physical-therapist-assistant-and-occupational-therapist-assistant/,https://www.macewan.ca/academics/programs/physical-therapist-assistant-and-occupational-therapist-assistant/,https://www.macewan.ca/academics/programs/physical-therapist-assistant-and-occupational-therapist-assistant/admissions/requirements/index.html,macewan-link-list-element
Police and Investigations - Investigative Studies,/academics/programs/police-investigations-investigative-studies/,https://www.macewan.ca/academics/programs/police-investigations-investigative-studies/,https://www.macewan.ca/academics/programs/police-investigations-investigative-studies/admissions/requirements/index.html,macewan-link-list-element
Police and Investigations - Police Studies,/academics/programs/police-investigations-police-studies/,https://www.macewan.ca/academics/programs/police-investigations-police-studies/,https://www.macewan.ca/academics/programs/police-investigations-police-studies/admissions/requirements/index.html,macewan-link-list-element
Political Science,/academics/academic-departments/anthropology-economics-political-science/academics/political-science-honours/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/political-science-honours/,,macewan-link-list-element
Political Science,/academics/academic-departments/anthropology-economics-political-science/academics/political-science-major/,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/political-science-major/,,macewan-link-list-element
Professional Communication,/academics/programs/bachelor-of-communication-studies/academics/professional-communication-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/academics/professional-communication-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,macewan-link-list-element
Psychiatric Nursing,/academics/programs/bachelor-of-psychiatric-nursing/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-psychiatric-nursing/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-psychiatric-nursing/admissions/requirements/index.html,macewan-link-list-element
Psychology,/academics/academic-departments/psychology/academics/psychology-honours/,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-honours/,,macewan-link-list-element
Psychology,/academics/academic-departments/psychology/academics/psychology-major/,https://www.macewan.ca/academics/academic-departments/psychology/academics/psychology-major/,,macewan-link-list-element
Public Relations,/academics/programs/bachelor-of-communication-studies/academics/public-relations-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/academics/public-relations-major/,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,macewan-link-list-element
Recording and Production,/academics/programs/bachelor-of-music/academics/music-recording-production-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/academics/music-recording-production-major/,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,macewan-link-list-element
Social Work,/academics/programs/social-work/,https://www.macewan.ca/academics/programs/social-work/,https://www.macewan.ca/academics/programs/social-work/admissions/requirements/index.html,macewan-link-list-element
Sociology,/academics/academic-departments/sociology/academics/sociology-honours/,https://www.macewan.ca/academics/academic-departments/sociology/academics/sociology-honours/,,macewan-link-list-element
Sociology,/academics/academic-departments/sociology/academics/sociology-major/,https://www.macewan.ca/academics/academic-departments/sociology/academics/sociology-major/,,macewan-link-list-element
Speech Language Pathologist Assistant,/academics/programs/speech-language-pathologist-assistant/,https://www.macewan.ca/academics/programs/speech-language-pathologist-assistant/,https://www.macewan.ca/academics/programs/speech-language-pathologist-assistant/admissions/requirements/index.html,macewan-link-list-element
Studio Arts,/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,macewan-link-list-element
Supply Chain Management,/academics/academic-departments/decision-sciences/academics/supply-chain-management-major/,https://www.macewan.ca/academics/academic-departments/decision-sciences/academics/supply-chain-management-major/,,macewan-link-list-element
Theatre Production,/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/academics/diploma-exit/,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,macewan-link-list-element
Travel and Tourism,/academics/programs/travel-and-tourism/,https://www.macewan.ca/academics/programs/travel-and-tourism/,https://www.macewan.ca/academics/programs/travel-and-tourism/admissions/requirements/index.html,macewan-link-list-element
University Preparation,/academics/programs/university-preparation/,https://www.macewan.ca/academics/programs/university-preparation/,,macewan-link-list-element
