institution,program_name,credential,admission_type,source_url,notes_uncertain
MacEwan,Bachelor of Communication Studies,Other,,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,
MacEwan,Bachelor of Design,Other,,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,
MacEwan,Bachelor of Early Childhood Curriculum Studies,Other,,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/admissions/requirements/index.html,
MacEwan,Bachelor of Fine Arts,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
MacEwan,Bachelor of Music,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Bachelor of Physical Education Transfer,Other,,https://www.macewan.ca/academics/programs/bachelor-of-physical-education-transfer/admissions/requirements/index.html,
MacEwan,Bachelor of Psychiatric Nursing,Other,,https://www.macewan.ca/academics/programs/bachelor-of-psychiatric-nursing/admissions/requirements/index.html,
MacEwan,Bachelor of Public Safety and Justice,Other,,https://www.macewan.ca/academics/programs/bachelor-of-public-safety-and-justice/admissions/requirements/index.html,
MacEwan,Bachelor of Science,Other,,https://www.macewan.ca/academics/programs/bachelor-of-science/admissions/requirements/index.html,
MacEwan,Bachelor of Science in Nursing,Other,,https://www.macewan.ca/academics/programs/bachelor-of-science-in-nursing/admissions/requirements/index.html,
MacEwan,Bachelor of Social Work,Other,,https://www.macewan.ca/academics/programs/bachelor-of-social-work/admissions/requirements/index.html,
MacEwan,Behaviour Analysis,Other,,https://www.macewan.ca/academics/programs/behaviour-analysis/admissions/requirements/index.html,
MacEwan,Biological Sciences,Other,,https://www.macewan.ca/academics/academic-departments/biological-sciences/academics/biological-sciences-honours/,
MacEwan,Biological Sciences,Other,,https://www.macewan.ca/academics/academic-departments/biological-sciences/academics/biological-sciences-major/,
MacEwan,Bridge to Canadian Nursing,Other,,https://www.macewan.ca/academics/programs/bridge-to-canadian-nursing/,
MacEwan,Business Management,Other,,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,
MacEwan,Business Management,Other,,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,
MacEwan,Chemistry,Other,,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/chemistry-major/,
MacEwan,Child and Youth Care,Other,,https://www.macewan.ca/academics/programs/bachelor-of-child-and-youth-care/admissions/requirements/index.html,
MacEwan,Community Justice and Corrections,Other,,https://www.macewan.ca/academics/programs/community-justice-and-corrections/admissions/requirements/index.html,
MacEwan,Composition,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Computer Science,Other,,https://www.macewan.ca/academics/academic-departments/computer-science/academics/computer-science-major/,
MacEwan,Data Science,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/data-science-major/,
MacEwan,Digital Experience Design,Other,,https://www.macewan.ca/academics/programs/digital-experience-design/admissions/requirements/index.html,
MacEwan,Digital Experience Design,Other,,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,
MacEwan,Early Learning and Child Care,Other,,https://www.macewan.ca/academics/programs/bachelor-of-early-childhood-curriculum-studies/admissions/requirements/index.html,
MacEwan,Economics,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/economics-honours/,
MacEwan,Economics,Other,,https://www.macewan.ca/academics/academic-departments/anthropology-economics-political-science/academics/economics-major/,
MacEwan,Educational Assistant,Other,,https://www.macewan.ca/academics/programs/educational-assistant/admissions/requirements/index.html,
MacEwan,Emergency Communications and Response,Other,,https://www.macewan.ca/academics/programs/emergency-communications-response/admissions/requirements/index.html,
MacEwan,English,Other,,https://www.macewan.ca/academics/academic-departments/english/academics/english-honours/,
MacEwan,English,Other,,https://www.macewan.ca/academics/academic-departments/english/academics/english-major/,
MacEwan,English as an Additional Language (EAL),Other,,https://www.macewan.ca/academics/programs/english-as-an-additional-language/,
MacEwan,Environmental Sciences,Other,,https://www.macewan.ca/academics/academic-departments/physical-sciences/academics/environmental-sciences-major/,
MacEwan,Foundation Program International,Other,,https://www.macewan.ca/academics/programs/foundation-program-international/,
MacEwan,Foundation Program pimâcihisowin,Other,,https://www.macewan.ca/academics/programs/foundation-program-pimacihisowin/,
MacEwan,General,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Gerontology,Other,,https://www.macewan.ca/academics/programs/gerontology/admissions/requirements/index.html,
MacEwan,Graphic Design,Other,,https://www.macewan.ca/academics/programs/bachelor-of-design/admissions/requirements/index.html,
MacEwan,Hearing Aid Practitioner,Other,,https://www.macewan.ca/academics/programs/hearing-aid-practitioner/admissions/requirements/index.html,
MacEwan,History,Other,,https://www.macewan.ca/academics/academic-departments/humanities/academics/history-major/,
MacEwan,Hospice Palliative Care,Other,,https://www.macewan.ca/academics/programs/hospice-palliative-care/admissions/requirements/index.html,
MacEwan,Human Resources Management,Other,,https://www.macewan.ca/academics/programs/human-resources-management/admissions/requirements/index.html,
MacEwan,Human Resources Management,Other,,https://www.macewan.ca/academics/programs/human-resources-management/admissions/requirements/index.html,
MacEwan,Human Resources Management,Other,,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/hrmt-honours/,
MacEwan,Human Resources Management,Other,,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/hrmt-major/,
MacEwan,Insurance and Risk Management,Other,,https://www.macewan.ca/academics/programs/business-management/admissions/requirements/index.html,
MacEwan,International Business,Other,,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-honours/,
MacEwan,International Business,Other,,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/international-business-major/,
MacEwan,Journalism,Other,,https://www.macewan.ca/academics/programs/bachelor-of-communication-studies/admissions/requirements/index.html,
MacEwan,Legal Studies in Business,Other,,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/legal-studies-in-business-major/,
MacEwan,Library and Information Technology,Other,,https://www.macewan.ca/academics/programs/library-and-information-technology/admissions/requirements/index.html,
MacEwan,Management,Other,,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/mgmt-honours/,
MacEwan,Management,Other,,https://www.macewan.ca/academics/academic-departments/management-organizations/academics/mgmt-major/,
MacEwan,Marketing,Other,,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-honours/,
MacEwan,Marketing,Other,,https://www.macewan.ca/academics/academic-departments/international-business-marketing-strategy-law/academics/marketing-major/,
MacEwan,Massage Therapy,Other,,https://www.macewan.ca/academics/programs/massage-therapy/admissions/requirements/index.html,
MacEwan,Mathematical Sciences,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-sciences-major/,
MacEwan,Mathematics,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-honours/,
MacEwan,Mathematics,Other,,https://www.macewan.ca/academics/academic-departments/mathematics-statistics/academics/mathematics-major/,
MacEwan,Music,Other,,https://www.macewan.ca/academics/programs/bachelor-of-music/admissions/requirements/index.html,
MacEwan,Music Theatre Performance,Other,,https://www.macewan.ca/academics/programs/bachelor-of-fine-arts/admissions/requirements/index.html,
